condition,label,run_count,observation_count,seed_recorded_count,seed_missing_count,seeds,files,actual_threat_level_mean,actual_threat_level_stddev,actual_threat_level_run_mean_stddev,perceived_threat_a_mean,perceived_threat_a_stddev,perceived_threat_a_run_mean_stddev,perceived_threat_b_mean,perceived_threat_b_stddev,perceived_threat_b_run_mean_stddev,perceived_minus_actual_a_mean,perceived_minus_actual_a_stddev,perceived_minus_actual_a_run_mean_stddev,perceived_minus_actual_b_mean,perceived_minus_actual_b_stddev,perceived_minus_actual_b_run_mean_stddev,escalation_pressure_mean,escalation_pressure_stddev,escalation_pressure_run_mean_stddev,recovery_capacity_mean,recovery_capacity_stddev,recovery_capacity_run_mean_stddev,reaction_overall_overreaction_rate,reaction_overall_adaptive_rate,reaction_overall_underreaction_rate,reaction_overall_mean_reaction_gap,reaction_overall_reaction_gap_stddev,reaction_overall_reaction_gap_run_mean_stddev,reaction_overall_mean_adaptive_fit,reaction_overall_adaptive_fit_stddev,reaction_overall_adaptive_fit_run_mean_stddev,reaction_country_a_overreaction_rate,reaction_country_a_adaptive_rate,reaction_country_a_underreaction_rate,reaction_country_a_mean_reaction_gap,reaction_country_a_reaction_gap_stddev,reaction_country_a_reaction_gap_run_mean_stddev,reaction_country_a_mean_adaptive_fit,reaction_country_a_adaptive_fit_stddev,reaction_country_a_adaptive_fit_run_mean_stddev,reaction_country_b_overreaction_rate,reaction_country_b_adaptive_rate,reaction_country_b_underreaction_rate,reaction_country_b_mean_reaction_gap,reaction_country_b_reaction_gap_stddev,reaction_country_b_reaction_gap_run_mean_stddev,reaction_country_b_mean_adaptive_fit,reaction_country_b_adaptive_fit_stddev,reaction_country_b_adaptive_fit_run_mean_stddev
A,慎重外交型×慎重外交型 / 国際法ON / Hotline ON,5,40,0,5,"[None, None, None, None, None]","['simulation_result_cautious_cautious_law_hotline_run1.json', 'simulation_result_cautious_cautious_law_hotline_run1_previous_20260830T105924.json', 'simulation_result_cautious_cautious_law_hotline_run2.json', 'simulation_result_cautious_cautious_law_hotline_run3.json', 'simulation_result_cautious_cautious_law_hotline_run4.json']",29.525,11.079,1.125,33.575,10.625,0.245,33.575,10.625,0.245,4.05,3.781,0.977,4.05,3.781,0.977,13.875,4.584,1.072,85.3,2.883,1.039,11.25,81.25,7.5,-0.312,8.786,1.941,92.537,4.647,0.647,12.5,80.0,7.5,0.15,8.711,2.234,92.75,4.831,0.866,10.0,82.5,7.5,-0.775,8.836,1.687,92.325,4.446,0.595
B,強硬型×強硬型 / 国際法ON / Hotline ON,2,16,2,0,"[20260910, 20260911]","['result_hardliner_law_hotline_run1.json', 'result_hardliner_law_hotline_run2.json']",31.75,10.866,1.375,55.812,14.332,3.938,56.062,14.228,3.938,24.062,9.297,2.562,24.312,8.97,2.562,24.562,14.478,1.438,81.5,3.279,0.625,53.125,43.75,3.125,10.469,8.276,0.031,87.531,4.756,0.906,50.0,43.75,6.25,9.938,8.348,0.312,87.688,4.104,1.188,56.25,43.75,0.0,11.0,8.17,0.25,87.375,5.325,0.625
C,慎重外交型×慎重外交型 / 国際法OFF / Hotline ON,2,16,2,0,"[20260910, 20260911]","['result_cautious_no_law_hotline_run1.json', 'result_cautious_no_law_hotline_run2.json']",28.5,10.753,0.25,33.875,12.903,0.125,34.062,12.896,0.312,5.375,3.603,0.375,5.562,3.758,0.562,14.688,4.946,0.938,81.5,2.121,0.375,0.0,93.75,6.25,1.875,7.536,0.312,93.0,3.363,0.562,0.0,93.75,6.25,1.5,7.969,0.25,92.75,3.631,0.5,0.0,93.75,6.25,2.25,7.058,0.375,93.25,3.052,0.625
D,慎重外交型×慎重外交型 / 国際法ON / Hotline OFF,3,24,0,3,"[None, None, None]","['simulation_result_cautious_cautious_law_no_hotline_run1.json', 'simulation_result_cautious_cautious_law_no_hotline_run2.json', 'simulation_result_cautious_cautious_law_no_hotline_run3.json']",30.708,12.205,1.43,33.75,12.534,0.714,33.417,12.352,0.85,3.042,3.889,2.127,2.708,3.953,2.199,14.417,6.103,0.482,84.292,2.189,0.412,6.25,77.083,16.667,0.479,9.156,1.863,92.646,5.475,0.666,4.167,79.167,16.667,0.417,9.013,1.832,92.917,5.59,0.598,8.333,75.0,16.667,0.542,9.296,1.897,92.375,5.345,0.816
E,強硬型×強硬型 / 国際法OFF / Hotline OFF,2,16,0,2,"[None, None]","['result_hardliner_no_law_no_hotline_run1.json', 'result_hardliner_no_law_no_hotline_run2.json']",35.75,13.59,1.0,62.688,15.065,3.688,62.438,15.354,3.938,26.938,9.031,2.688,26.688,9.218,2.938,37.188,17.579,2.188,68.375,13.499,0.875,87.5,12.5,0.0,15.844,8.836,2.969,83.531,7.607,2.344,87.5,12.5,0.0,15.812,8.575,2.188,83.812,7.844,1.812,87.5,12.5,0.0,15.875,9.089,3.75,83.25,7.353,2.875
F,強硬型×強硬型 / 国際法OFF / Hotline ON,2,16,2,0,"[20260912, 20260913]","['result_hardliner_no_law_hotline_run1.json', 'result_hardliner_no_law_hotline_run2.json']",34.25,13.193,0.375,54.375,16.412,0.25,54.25,16.3,0.375,20.125,9.041,0.625,20.0,8.888,0.75,29.188,17.973,1.188,75.062,4.63,0.938,53.125,40.625,6.25,10.625,9.711,0.625,87.125,6.436,1.875,50.0,43.75,6.25,10.25,9.404,1.125,87.5,6.103,2.125,56.25,37.5,6.25,11.0,9.994,0.125,86.75,6.731,1.625
G,強硬型×強硬型 / 国際法ON / Hotline OFF,2,16,2,0,"[20260914, 20260915]","['result_hardliner_law_no_hotline_run1.json', 'result_hardliner_law_no_hotline_run2.json']",32.938,12.799,0.438,51.938,16.551,0.312,51.875,16.412,0.0,19.0,8.639,0.75,18.938,8.378,0.438,27.5,17.048,2.5,78.312,6.342,2.688,43.75,56.25,0.0,9.75,8.193,0.688,88.375,5.201,0.062,43.75,56.25,0.0,9.375,7.999,0.375,88.75,5.031,0.25,43.75,56.25,0.0,10.125,8.366,1.0,88.0,5.339,0.375
H,慎重外交型×慎重外交型 / 国際法OFF / Hotline OFF,2,16,2,0,"[20260916, 20260917]","['result_cautious_no_law_no_hotline_run1.json', 'result_cautious_no_law_no_hotline_run2.json']",28.312,10.196,1.188,32.812,11.87,1.562,32.812,11.87,1.562,4.5,4.047,0.375,4.5,4.047,0.375,14.562,4.65,0.438,83.25,3.4,0.125,0.0,87.5,12.5,-0.156,6.783,1.031,94.719,4.259,1.781,0.0,87.5,12.5,0.125,6.632,1.5,94.75,4.054,1.625,0.0,87.5,12.5,-0.438,6.919,0.562,94.688,4.454,1.938
I,強硬型×慎重外交型 / 国際法ON / Hotline ON,2,16,2,0,"[20260918, 20260919]","['result_hardliner_cautious_law_hotline_run1.json', 'result_hardliner_cautious_law_hotline_run2.json']",31.625,11.821,0.75,43.875,13.374,0.125,36.375,9.752,0.125,12.25,4.75,0.875,4.75,4.008,0.875,17.438,7.237,0.688,83.125,2.421,0.625,15.625,78.125,6.25,3.219,7.944,1.844,92.656,4.42,0.844,25.0,75.0,0.0,6.938,6.833,1.562,90.938,3.561,1.188,6.25,81.25,12.5,-0.5,7.202,2.125,94.375,4.526,0.5
J,強硬型×慎重外交型 / 国際法ON / Hotline OFF,2,16,2,0,"[20260920, 20260921]","['result_hardliner_cautious_law_no_hotline_run1.json', 'result_hardliner_cautious_law_no_hotline_run2.json']",32.75,13.055,0.875,49.75,14.494,1.125,37.438,10.909,2.438,17.0,5.511,2.0,4.688,5.785,1.562,20.438,11.554,1.688,82.312,2.994,0.188,37.5,53.125,9.375,5.781,10.416,0.906,89.781,6.122,0.594,62.5,37.5,0.0,11.75,6.933,0.125,87.75,6.005,0.625,12.5,68.75,18.75,-0.188,9.882,1.938,91.812,5.536,1.812
K,強硬型×慎重外交型 / 国際法OFF / Hotline ON,2,16,2,0,"[20260922, 20260923]","['result_hardliner_cautious_no_law_hotline_run1.json', 'result_hardliner_cautious_no_law_hotline_run2.json']",32.875,13.388,0.625,47.688,15.779,0.188,39.438,13.825,0.562,14.812,6.366,0.812,6.562,5.668,0.062,18.875,8.455,0.5,80.0,3.062,1.25,15.625,78.125,6.25,2.688,8.953,0.062,92.688,5.823,0.312,25.0,75.0,0.0,6.062,8.112,0.188,91.312,5.205,0.438,6.25,81.25,12.5,-0.688,8.468,0.312,94.062,6.077,0.188
